Customer_ID,Tenure_Months,Monthly_Charges,Total_Charges,Contract_Type,Internet_Service,Support_Tickets_Last_Year,Churned,Payment_Method,Age_Group
CUST0000,61,47.34,2887.58,Month-to-Month,DSL,7,Yes,Mailed_Check,36-50
CUST0001,24,37.32,895.76,Month-to-Month,None,3,No,Electronic,26-35
CUST0002,33,88.49,2920.29,One_Year,Fiber_Optic,4,Yes,Mailed_Check,18-25
CUST0003,55,60.99,3354.5,Month-to-Month,DSL,2,No,Electronic,36-50
CUST0004,18,23.41,421.39,Two_Year,None,6,No,Credit_Card,26-35
CUST0005,60,40.64,2438.32,Two_Year,DSL,1,No,Electronic,51+
CUST0006,4,95.64,382.57,Month-to-Month,Fiber_Optic,1,Yes,Mailed_Check,26-35
CUST0007,44,81.25,3575.11,One_Year,Fiber_Optic,1,No,Mailed_Check,51+
CUST0008,62,21.77,1349.73,One_Year,None,6,Yes,Credit_Card,18-25
CUST0009,60,63.47,3808.2,Month-to-Month,DSL,8,Yes,Electronic,18-25
CUST0010,1,40.63,40.63,Two_Year,DSL,8,Yes,Credit_Card,36-50
CUST0011,33,68.45,2258.97,Two_Year,DSL,2,No,Mailed_Check,36-50
CUST0012,33,37.0,1221.03,One_Year,None,1,Yes,Bank_Transfer,26-35
CUST0013,35,31.83,1113.91,Month-to-Month,None,5,Yes,Electronic,36-50
CUST0014,14,68.87,964.17,One_Year,DSL,6,Yes,Electronic,36-50
CUST0015,63,97.57,6147.13,Month-to-Month,Fiber_Optic,2,No,Electronic,51+
CUST0016,15,85.57,1283.6,One_Year,Fiber_Optic,6,No,Credit_Card,18-25
CUST0017,42,33.9,1423.62,Month-to-Month,None,1,No,Electronic,18-25
CUST0018,62,115.33,7150.54,Two_Year,Fiber_Optic,6,Yes,Electronic,36-50
CUST0019,70,74.43,5210.05,Month-to-Month,DSL,6,Yes,Electronic,26-35
CUST0020,59,25.39,1497.91,Month-to-Month,None,7,Yes,Credit_Card,51+
CUST0021,12,42.6,511.15,One_Year,DSL,3,No,Mailed_Check,36-50
CUST0022,2,79.91,159.82,Month-to-Month,DSL,0,Yes,Mailed_Check,36-50
CUST0023,53,65.37,3464.82,Month-to-Month,DSL,1,No,Credit_Card,26-35
CUST0024,38,35.23,1338.83,Month-to-Month,None,0,Yes,Credit_Card,26-35
CUST0025,59,36.33,2143.39,One_Year,None,0,No,Electronic,36-50
CUST0026,19,24.4,463.69,One_Year,None,2,No,Bank_Transfer,51+
CUST0027,11,38.73,426.08,Two_Year,None,0,No,Electronic,26-35
CUST0028,16,107.83,1725.3,Two_Year,Fiber_Optic,6,No,Electronic,51+
CUST0029,37,119.85,4434.46,One_Year,Fiber_Optic,4,No,Bank_Transfer,18-25
CUST0030,20,34.52,690.38,Month-to-Month,None,2,No,Credit_Card,18-25
CUST0031,38,38.71,1471.08,One_Year,None,3,No,Mailed_Check,36-50
CUST0032,66,66.54,4391.64,Month-to-Month,DSL,1,No,Credit_Card,18-25
CUST0033,48,40.72,1954.7,Month-to-Month,DSL,4,No,Credit_Card,51+
CUST0034,22,52.32,1151.09,Two_Year,DSL,2,No,Mailed_Check,26-35
CUST0035,21,116.24,2441.12,Month-to-Month,Fiber_Optic,1,Yes,Credit_Card,36-50
CUST0036,4,49.21,196.83,Month-to-Month,DSL,2,Yes,Electronic,51+
CUST0037,6,118.16,708.94,Month-to-Month,Fiber_Optic,4,Yes,Electronic,18-25
CUST0038,60,62.11,3726.64,Two_Year,DSL,2,No,Bank_Transfer,18-25
CUST0039,18,25.37,456.65,Month-to-Month,None,2,No,Bank_Transfer,26-35
CUST0040,23,83.89,1929.4,One_Year,Fiber_Optic,5,Yes,Bank_Transfer,26-35
CUST0041,43,73.95,3179.71,Two_Year,DSL,8,No,Bank_Transfer,18-25
CUST0042,24,112.4,2697.71,Month-to-Month,Fiber_Optic,8,No,Mailed_Check,36-50
CUST0043,16,47.77,764.34,One_Year,DSL,7,Yes,Bank_Transfer,36-50
CUST0044,63,83.76,5276.83,Month-to-Month,Fiber_Optic,6,Yes,Electronic,26-35
CUST0045,49,73.56,3604.31,One_Year,DSL,5,Yes,Mailed_Check,36-50
CUST0046,60,60.89,3653.38,Month-to-Month,DSL,4,Yes,Electronic,36-50
CUST0047,55,47.78,2627.64,Month-to-Month,DSL,2,Yes,Credit_Card,18-25
CUST0048,63,92.92,5853.85,Two_Year,Fiber_Optic,0,No,Mailed_Check,36-50
CUST0049,9,118.51,1066.55,Month-to-Month,Fiber_Optic,6,No,Electronic,26-35
CUST0050,48,25.0,1200.23,Two_Year,None,5,Yes,Electronic,18-25
CUST0051,22,69.52,1529.35,One_Year,DSL,4,No,Bank_Transfer,51+
CUST0052,29,35.16,1019.55,One_Year,None,8,Yes,Electronic,36-50
CUST0053,16,119.18,1906.89,Month-to-Month,Fiber_Optic,4,Yes,Credit_Card,18-25
CUST0054,23,58.59,1347.5,Month-to-Month,DSL,4,Yes,Mailed_Check,18-25
CUST0055,58,20.31,1177.75,Two_Year,None,2,No,Credit_Card,18-25
CUST0056,24,38.89,933.24,One_Year,None,3,No,Bank_Transfer,51+
CUST0057,12,61.82,741.9,Month-to-Month,DSL,4,Yes,Electronic,51+
CUST0058,35,42.77,1497.11,Two_Year,DSL,1,No,Mailed_Check,51+
CUST0059,7,80.93,566.52,Month-to-Month,Fiber_Optic,1,Yes,Electronic,26-35
CUST0060,21,41.57,872.92,One_Year,DSL,8,No,Credit_Card,26-35
CUST0061,24,39.81,955.44,Month-to-Month,None,3,No,Credit_Card,18-25
CUST0062,30,35.02,1050.52,Month-to-Month,None,8,No,Mailed_Check,51+
CUST0063,49,91.91,4503.36,Two_Year,Fiber_Optic,2,Yes,Electronic,18-25
CUST0064,16,52.77,844.36,Two_Year,DSL,3,No,Bank_Transfer,51+
CUST0065,23,24.25,557.85,Month-to-Month,None,4,No,Bank_Transfer,18-25
CUST0066,35,82.3,2880.58,Two_Year,Fiber_Optic,4,No,Bank_Transfer,36-50
CUST0067,7,70.46,493.22,Month-to-Month,DSL,0,Yes,Credit_Card,26-35
CUST0068,29,34.12,989.62,Month-to-Month,None,4,Yes,Bank_Transfer,51+
CUST0069,71,75.21,5340.22,Month-to-Month,DSL,0,No,Credit_Card,51+
CUST0070,39,29.63,1155.7,Month-to-Month,None,5,Yes,Mailed_Check,36-50
CUST0071,58,25.07,1454.27,Month-to-Month,None,1,No,Credit_Card,18-25
CUST0072,63,34.92,2200.02,Two_Year,None,8,Yes,Electronic,51+
CUST0073,36,78.53,2827.04,One_Year,DSL,4,Yes,Credit_Card,18-25
CUST0074,54,48.67,2628.31,One_Year,DSL,0,No,Credit_Card,36-50
CUST0075,24,118.02,2832.4,Month-to-Month,Fiber_Optic,7,No,Credit_Card,26-35
CUST0076,28,95.53,2674.86,Month-to-Month,Fiber_Optic,1,Yes,Electronic,51+
CUST0077,33,81.29,2682.66,Two_Year,Fiber_Optic,8,Yes,Electronic,51+
CUST0078,69,76.44,5274.16,Month-to-Month,DSL,5,No,Mailed_Check,26-35
CUST0079,33,102.06,3368.1,Two_Year,Fiber_Optic,4,No,Mailed_Check,51+
CUST0080,59,31.88,1881.07,Two_Year,None,8,No,Electronic,18-25
CUST0081,55,22.68,1247.24,Month-to-Month,None,4,No,Electronic,18-25
CUST0082,53,116.53,6175.91,Two_Year,Fiber_Optic,6,No,Mailed_Check,36-50
CUST0083,51,88.2,4498.29,Month-to-Month,Fiber_Optic,0,Yes,Credit_Card,26-35
CUST0084,39,94.33,3678.73,Two_Year,Fiber_Optic,7,No,Mailed_Check,26-35
CUST0085,54,26.16,1412.4,One_Year,None,0,No,Mailed_Check,26-35
CUST0086,14,45.36,635.05,One_Year,DSL,6,No,Bank_Transfer,36-50
CUST0087,30,94.02,2820.71,Month-to-Month,Fiber_Optic,1,Yes,Bank_Transfer,36-50
CUST0088,30,60.56,1816.79,One_Year,DSL,7,No,Bank_Transfer,18-25
CUST0089,69,117.06,8077.38,Two_Year,Fiber_Optic,0,No,Electronic,26-35
CUST0090,23,31.59,726.64,Month-to-Month,None,2,Yes,Bank_Transfer,36-50
CUST0091,27,75.87,2048.53,Month-to-Month,DSL,2,No,Mailed_Check,18-25
CUST0092,42,36.44,1530.3,Month-to-Month,None,1,Yes,Electronic,26-35
CUST0093,49,54.24,2657.74,Month-to-Month,DSL,1,No,Electronic,36-50
CUST0094,56,59.25,3317.77,Month-to-Month,DSL,5,No,Bank_Transfer,51+
CUST0095,52,114.73,5966.07,Month-to-Month,Fiber_Optic,7,Yes,Bank_Transfer,51+
CUST0096,2,110.4,220.8,Month-to-Month,Fiber_Optic,7,Yes,Mailed_Check,36-50
CUST0097,18,33.74,607.38,Month-to-Month,None,6,Yes,Bank_Transfer,36-50
CUST0098,57,69.5,3961.28,Month-to-Month,DSL,6,No,Mailed_Check,26-35
CUST0099,25,75.62,1890.53,One_Year,DSL,3,No,Bank_Transfer,18-25
CUST0100,34,31.68,1077.26,Month-to-Month,None,5,Yes,Credit_Card,18-25
CUST0101,52,91.35,4750.25,One_Year,Fiber_Optic,5,No,Mailed_Check,36-50
CUST0102,33,53.21,1756.06,Month-to-Month,DSL,8,Yes,Electronic,26-35
CUST0103,55,87.46,4810.45,Month-to-Month,Fiber_Optic,7,No,Bank_Transfer,36-50
CUST0104,66,79.3,5233.48,Month-to-Month,DSL,5,Yes,Bank_Transfer,51+
CUST0105,51,90.32,4606.12,Month-to-Month,Fiber_Optic,7,No,Mailed_Check,36-50
CUST0106,70,91.2,6383.94,One_Year,Fiber_Optic,4,No,Credit_Card,36-50
CUST0107,14,61.19,856.71,Month-to-Month,DSL,0,Yes,Electronic,26-35
CUST0108,6,61.3,367.82,Month-to-Month,DSL,0,Yes,Mailed_Check,18-25
CUST0109,65,92.89,6038.12,Month-to-Month,Fiber_Optic,1,Yes,Electronic,18-25
CUST0110,35,29.43,1030.1,Month-to-Month,None,6,Yes,Electronic,18-25
CUST0111,9,84.97,764.75,Two_Year,Fiber_Optic,7,Yes,Bank_Transfer,36-50
CUST0112,11,81.92,901.16,Two_Year,Fiber_Optic,7,No,Mailed_Check,51+
CUST0113,26,47.46,1233.86,Month-to-Month,DSL,2,No,Electronic,18-25
CUST0114,14,112.66,1577.3,One_Year,Fiber_Optic,6,No,Electronic,26-35
CUST0115,17,30.05,510.92,One_Year,None,8,No,Bank_Transfer,26-35
CUST0116,6,30.86,185.14,One_Year,None,5,Yes,Bank_Transfer,51+
CUST0117,27,37.57,1014.46,One_Year,None,0,No,Mailed_Check,18-25
CUST0118,68,71.14,4837.72,Month-to-Month,DSL,0,No,Mailed_Check,18-25
CUST0119,52,44.12,2294.07,Two_Year,DSL,3,No,Electronic,51+
CUST0120,27,28.18,760.84,Month-to-Month,None,1,No,Bank_Transfer,51+
CUST0121,11,31.98,351.79,One_Year,None,3,No,Credit_Card,26-35
CUST0122,62,29.24,1812.89,Month-to-Month,None,7,Yes,Electronic,36-50
CUST0123,68,38.64,2627.68,One_Year,None,3,No,Electronic,51+
CUST0124,51,63.05,3215.63,One_Year,DSL,8,No,Credit_Card,18-25
CUST0125,21,22.46,471.58,Two_Year,None,4,Yes,Credit_Card,26-35
CUST0126,40,74.8,2991.83,Two_Year,DSL,6,No,Bank_Transfer,18-25
CUST0127,26,112.11,2914.97,One_Year,Fiber_Optic,4,Yes,Bank_Transfer,51+
CUST0128,34,38.46,1307.61,One_Year,None,6,No,Credit_Card,36-50
CUST0129,25,22.82,570.43,Month-to-Month,None,7,Yes,Mailed_Check,18-25
CUST0130,26,71.22,1851.72,Two_Year,DSL,5,Yes,Electronic,18-25
CUST0131,63,45.95,2894.63,Month-to-Month,DSL,5,No,Electronic,36-50
CUST0132,56,55.89,3129.99,One_Year,DSL,2,No,Credit_Card,26-35
CUST0133,19,55.11,1047.07,Month-to-Month,DSL,7,Yes,Mailed_Check,36-50
