Employee_ID,Department,Tenure_Years,Age,Gender,Salary,Performance_Score,Attrition,Last_Promotion_Years,Overtime_Hours_Monthly
EMP0000,Engineering,2.4,43,Male,73321.8,3,Yes,1,37.3
EMP0001,Marketing,14.1,33,Female,74783.53,1,Yes,5,39.8
EMP0002,Engineering,6.1,24,Male,90333.33,3,Yes,2,39.5
EMP0003,Marketing,6.8,30,Female,63583.11,2,Yes,4,38.8
EMP0004,Engineering,9.2,57,Female,101687.89,3,No,7,3.5
EMP0005,Marketing,6.4,39,Female,53483.53,1,Yes,3,31.4
EMP0006,Operations,13.8,42,Female,73279.57,1,Yes,4,23.9
EMP0007,Engineering,12.4,50,Male,103226.42,3,No,4,5.6
EMP0008,Engineering,11.0,49,Male,98731.84,5,No,0,1.5
EMP0009,Sales,5.0,56,Female,117754.97,1,Yes,5,26.2
EMP0010,Engineering,14.6,35,Male,59333.65,5,No,2,14.4
EMP0011,Sales,6.5,53,Male,121389.62,3,Yes,0,22.2
EMP0012,Engineering,3.8,53,Male,103552.99,3,No,2,15.1
EMP0013,Marketing,13.2,27,Female,70285.0,3,No,3,5.9
EMP0014,Engineering,4.9,54,Male,104439.62,4,No,0,7.1
EMP0015,Sales,0.1,29,Male,95806.15,2,Yes,0,26.1
EMP0016,Sales,3.7,33,Female,78074.68,1,Yes,4,24.4
EMP0017,Sales,4.6,23,Female,118297.69,1,Yes,3,20.7
EMP0018,Engineering,3.7,53,Male,97166.31,4,No,3,9.8
EMP0019,Engineering,5.6,55,Female,86114.57,3,No,5,16.1
EMP0020,Sales,0.7,47,Male,80189.27,5,No,1,13.6
EMP0021,Engineering,9.7,39,Female,81505.53,5,No,0,13.8
EMP0022,Marketing,8.2,23,Male,57436.28,4,No,7,4.6
EMP0023,HR,8.4,56,Male,80157.79,3,No,7,3.8
EMP0024,Operations,13.3,41,Female,65717.66,4,No,2,18.7
EMP0025,Engineering,14.1,39,Female,105979.39,4,No,5,5.7
EMP0026,Sales,2.8,38,Female,99902.86,5,No,0,14.9
EMP0027,Sales,7.7,29,Male,92333.53,4,No,2,5.0
EMP0028,Marketing,7.4,25,Male,111016.33,3,Yes,7,34.4
EMP0029,Sales,2.7,27,Male,101875.31,3,No,3,19.1
EMP0030,Engineering,14.5,42,Female,88138.01,5,No,6,17.1
EMP0031,Engineering,7.3,24,Female,101105.11,4,No,5,7.9
EMP0032,Engineering,13.2,50,Female,90873.13,5,No,6,13.9
EMP0033,Sales,3.9,57,Male,77140.59,5,No,3,1.6
EMP0034,Sales,13.4,53,Male,119080.04,2,Yes,6,27.5
EMP0035,Engineering,7.0,43,Male,99770.87,4,No,3,5.7
EMP0036,Engineering,5.0,25,Female,95316.29,3,No,4,5.4
EMP0037,Engineering,6.2,51,Male,61795.31,3,No,0,2.8
EMP0038,Engineering,3.8,30,Female,113894.73,5,No,4,1.6
EMP0039,Engineering,13.7,46,Female,83490.88,4,No,4,4.8
EMP0040,Engineering,6.4,43,Male,121832.34,3,No,4,7.1
EMP0041,Engineering,0.8,33,Female,105486.98,1,Yes,1,37.1
EMP0042,Marketing,7.0,26,Female,61761.21,4,No,1,1.0
EMP0043,Engineering,0.3,25,Female,106451.94,3,No,0,10.0
EMP0044,Operations,10.2,33,Male,87586.54,3,No,0,2.6
EMP0045,HR,13.6,23,Male,77971.0,3,Yes,2,21.4
EMP0046,Sales,5.8,28,Female,124604.23,5,No,1,6.8
EMP0047,Marketing,9.5,57,Female,50631.63,3,No,4,14.7
EMP0048,Marketing,11.7,33,Male,43184.93,3,No,6,18.6
EMP0049,Marketing,11.3,41,Female,51691.45,2,Yes,0,38.1
EMP0050,Engineering,0.3,49,Female,86411.63,5,No,0,1.8
EMP0051,HR,8.6,33,Male,82809.62,5,No,3,9.0
EMP0052,Marketing,11.9,35,Male,81560.17,3,Yes,1,29.9
EMP0053,Sales,13.3,31,Female,113341.12,3,No,3,2.3
EMP0054,Operations,3.4,26,Male,66123.73,4,No,3,17.8
EMP0055,Engineering,8.8,28,Male,107752.23,3,No,4,17.6
EMP0056,Marketing,11.7,40,Male,59223.34,4,No,5,8.5
EMP0057,Sales,0.3,22,Male,95731.06,1,Yes,0,21.1
EMP0058,Engineering,1.3,53,Male,81761.13,4,No,1,8.7
EMP0059,Engineering,0.7,40,Female,53112.1,5,No,0,18.4
EMP0060,Sales,6.9,32,Female,129022.87,5,No,1,11.7
EMP0061,HR,13.4,49,Female,84389.06,4,No,1,12.4
