Date,Region,Product_Category,Product_Name,Units_Sold,Unit_Price,Revenue,Discount_Rate,Profit_Margin
2023-01-31,North,Electronics,Electronics_Item_7,205,677.93,106467.57,0.23,0.01
2023-01-31,North,Clothing,Clothing_Item_4,230,32.48,5529.12,0.26,0.1
2023-01-31,North,Food,Food_Item_12,206,109.13,15939.5,0.29,0.01
2023-01-31,North,Home,Home_Item_12,117,10.11,963.66,0.19,0.2
2023-01-31,North,Sports,Sports_Item_16,186,50.77,9048.41,0.04,0.26
2023-01-31,South,Electronics,Electronics_Item_3,64,473.64,28497.27,0.06,0.09
2023-01-31,South,Clothing,Clothing_Item_14,100,74.42,7412.84,0.0,0.36
2023-01-31,South,Food,Food_Item_7,58,12.24,658.33,0.07,0.18
2023-01-31,South,Home,Home_Item_8,57,14.81,778.86,0.08,0.27
2023-01-31,South,Sports,Sports_Item_18,181,53.64,8116.4,0.16,0.15
2023-01-31,East,Electronics,Electronics_Item_16,93,763.7,58284.46,0.18,0.01
2023-01-31,East,Clothing,Clothing_Item_8,64,27.08,1709.57,0.01,0.32
2023-01-31,East,Food,Food_Item_13,131,85.56,7962.39,0.29,0.06
2023-01-31,East,Home,Home_Item_9,90,51.48,4611.31,0.0,0.22
2023-01-31,East,Sports,Sports_Item_19,137,65.28,8906.05,0.0,0.24
2023-01-31,West,Electronics,Electronics_Item_10,130,626.81,66671.74,0.18,0.01
2023-01-31,West,Clothing,Clothing_Item_1,90,93.2,7256.75,0.13,0.32
2023-01-31,West,Food,Food_Item_12,97,61.91,4805.91,0.2,0.14
2023-01-31,West,Home,Home_Item_15,153,48.46,6562.77,0.11,0.19
2023-01-31,West,Sports,Sports_Item_7,180,116.51,16121.22,0.23,0.1
2023-02-28,North,Electronics,Electronics_Item_13,102,513.64,51991.73,0.01,0.12
2023-02-28,North,Clothing,Clothing_Item_4,151,91.66,11501.96,0.17,0.24
2023-02-28,North,Food,Food_Item_19,259,115.78,29293.78,0.02,0.22
2023-02-28,North,Home,Home_Item_6,182,133.27,22103.2,0.09,0.22
2023-02-28,North,Sports,Sports_Item_11,103,122.51,9240.0,0.27,0.01
2023-02-28,South,Electronics,Electronics_Item_1,177,684.46,109592.29,0.1,0.07
2023-02-28,South,Clothing,Clothing_Item_9,178,38.23,5135.62,0.25,0.17
2023-02-28,South,Food,Food_Item_5,52,10.97,499.16,0.13,0.18
2023-02-28,South,Home,Home_Item_9,100,47.72,4530.86,0.05,0.2
2023-02-28,South,Sports,Sports_Item_7,162,19.08,2862.77,0.07,0.18
2023-02-28,East,Electronics,Electronics_Item_17,179,627.36,78684.62,0.3,0.01
2023-02-28,East,Clothing,Clothing_Item_1,51,60.21,2814.22,0.08,0.24
2023-02-28,East,Food,Food_Item_6,178,43.54,6611.92,0.15,0.1
2023-02-28,East,Home,Home_Item_6,117,21.32,2313.17,0.07,0.2
2023-02-28,East,Sports,Sports_Item_16,73,75.84,4874.05,0.12,0.25
2023-02-28,West,Electronics,Electronics_Item_3,193,701.18,127755.67,0.06,0.07
2023-02-28,West,Clothing,Clothing_Item_19,197,46.08,7140.56,0.21,0.16
2023-02-28,West,Food,Food_Item_7,197,100.32,15667.19,0.21,0.06
2023-02-28,West,Home,Home_Item_18,131,127.28,12995.99,0.22,0.12
2023-02-28,West,Sports,Sports_Item_17,91,46.11,3167.41,0.25,0.1
2023-03-31,North,Electronics,Electronics_Item_9,68,797.75,45161.4,0.17,0.01
2023-03-31,North,Clothing,Clothing_Item_1,199,76.03,11242.92,0.26,0.22
2023-03-31,North,Food,Food_Item_3,222,21.78,3531.7,0.27,0.01
2023-03-31,North,Home,Home_Item_14,217,24.21,5244.73,0.0,0.3
2023-03-31,North,Sports,Sports_Item_4,176,77.99,9630.69,0.3,0.03
2023-03-31,South,Electronics,Electronics_Item_8,117,342.35,31084.7,0.22,0.01
2023-03-31,South,Clothing,Clothing_Item_19,184,77.68,11966.0,0.16,0.22
2023-03-31,South,Food,Food_Item_19,168,45.06,5347.54,0.29,0.05
2023-03-31,South,Home,Home_Item_15,57,98.36,4761.08,0.15,0.2
2023-03-31,South,Sports,Sports_Item_17,110,79.89,6761.46,0.23,0.1
2023-03-31,East,Electronics,Electronics_Item_17,95,748.92,70817.36,0.0,0.11
2023-03-31,East,Clothing,Clothing_Item_1,95,97.33,6880.35,0.26,0.24
2023-03-31,East,Food,Food_Item_3,116,33.73,2813.73,0.28,0.06
2023-03-31,East,Home,Home_Item_2,153,19.86,2426.57,0.2,0.07
2023-03-31,East,Sports,Sports_Item_1,176,82.57,11302.27,0.22,0.15
2023-03-31,West,Electronics,Electronics_Item_3,186,621.49,105415.7,0.09,0.05
2023-03-31,West,Clothing,Clothing_Item_4,99,89.37,7490.03,0.15,0.31
2023-03-31,West,Food,Food_Item_12,69,100.99,5304.97,0.24,0.11
2023-03-31,West,Home,Home_Item_19,164,57.32,9135.33,0.03,0.23
2023-03-31,West,Sports,Sports_Item_17,112,147.46,12252.32,0.26,0.12
2023-04-30,North,Electronics,Electronics_Item_8,160,381.96,55124.65,0.1,0.05
2023-04-30,North,Clothing,Clothing_Item_6,137,41.72,4931.98,0.14,0.34
2023-04-30,North,Food,Food_Item_8,213,37.21,6263.03,0.21,0.09
2023-04-30,North,Home,Home_Item_19,136,28.58,3054.08,0.21,0.17
2023-04-30,North,Sports,Sports_Item_5,261,65.83,13347.47,0.22,0.09
2023-04-30,South,Electronics,Electronics_Item_1,166,248.52,32733.74,0.21,0.01
2023-04-30,South,Clothing,Clothing_Item_16,107,93.22,9256.72,0.07,0.31
2023-04-30,South,Food,Food_Item_7,138,102.43,10085.9,0.29,0.01
2023-04-30,South,Home,Home_Item_16,118,95.64,10446.89,0.07,0.2
2023-04-30,South,Sports,Sports_Item_17,135,12.02,1599.65,0.01,0.21
2023-04-30,East,Electronics,Electronics_Item_16,143,713.28,87489.01,0.14,0.02
2023-04-30,East,Clothing,Clothing_Item_10,134,57.88,6746.18,0.13,0.22
2023-04-30,East,Food,Food_Item_19,118,134.14,15755.29,0.0,0.24
2023-04-30,East,Home,Home_Item_16,145,129.91,17916.0,0.05,0.26
2023-04-30,East,Sports,Sports_Item_12,51,13.71,502.04,0.28,0.06
2023-04-30,West,Electronics,Electronics_Item_12,173,277.1,36136.31,0.25,0.01
2023-04-30,West,Clothing,Clothing_Item_13,116,85.63,9317.63,0.06,0.35
2023-04-30,West,Food,Food_Item_3,61,24.11,1428.98,0.03,0.18
2023-04-30,West,Home,Home_Item_2,130,101.8,10527.98,0.2,0.09
2023-04-30,West,Sports,Sports_Item_13,164,49.46,6415.93,0.21,0.05
2023-05-31,North,Electronics,Electronics_Item_4,167,726.48,92078.55,0.24,0.01
2023-05-31,North,Clothing,Clothing_Item_3,252,53.88,11231.35,0.17,0.25
2023-05-31,North,Food,Food_Item_5,114,62.08,6353.81,0.1,0.23
2023-05-31,North,Home,Home_Item_9,82,70.06,4444.43,0.23,0.13
2023-05-31,North,Sports,Sports_Item_13,106,136.36,10870.23,0.25,0.08
2023-05-31,South,Electronics,Electronics_Item_12,68,433.52,21472.39,0.27,0.01
2023-05-31,South,Clothing,Clothing_Item_19,58,45.55,1888.27,0.29,0.21
2023-05-31,South,Food,Food_Item_4,160,21.66,2839.23,0.18,0.07
2023-05-31,South,Home,Home_Item_10,102,120.82,11986.55,0.03,0.3
2023-05-31,South,Sports,Sports_Item_11,191,86.93,12182.46,0.27,0.05
2023-05-31,East,Electronics,Electronics_Item_12,124,270.24,25854.37,0.23,0.01
2023-05-31,East,Clothing,Clothing_Item_10,194,28.09,4303.46,0.21,0.14
2023-05-31,East,Food,Food_Item_5,186,125.06,22693.55,0.02,0.29
2023-05-31,East,Home,Home_Item_17,132,91.38,8876.72,0.26,0.12
2023-05-31,East,Sports,Sports_Item_19,120,148.04,15759.56,0.11,0.22
2023-05-31,West,Electronics,Electronics_Item_7,157,535.04,61161.09,0.27,0.01
2023-05-31,West,Clothing,Clothing_Item_8,175,59.41,8934.99,0.14,0.19
2023-05-31,West,Food,Food_Item_17,110,125.19,10957.4,0.2,0.15
2023-05-31,West,Home,Home_Item_13,105,83.97,6695.37,0.24,0.07
2023-05-31,West,Sports,Sports_Item_5,110,55.18,4385.77,0.28,0.01
2023-06-30,North,Electronics,Electronics_Item_14,264,781.58,167376.96,0.19,0.01
2023-06-30,North,Clothing,Clothing_Item_16,259,56.36,12039.13,0.18,0.25
2023-06-30,North,Food,Food_Item_8,82,144.22,10426.23,0.12,0.11
2023-06-30,North,Home,Home_Item_18,230,36.34,7471.56,0.11,0.18
2023-06-30,North,Sports,Sports_Item_17,103,20.88,1514.55,0.3,0.11
2023-06-30,South,Electronics,Electronics_Item_5,190,746.56,101428.19,0.28,0.01
2023-06-30,South,Clothing,Clothing_Item_13,96,93.53,6617.74,0.26,0.1
2023-06-30,South,Food,Food_Item_15,54,13.69,559.55,0.24,0.06
2023-06-30,South,Home,Home_Item_17,60,93.18,3963.95,0.29,0.02
2023-06-30,South,Sports,Sports_Item_6,147,15.16,2218.66,0.0,0.22
2023-06-30,East,Electronics,Electronics_Item_5,144,649.95,77162.64,0.18,0.01
2023-06-30,East,Clothing,Clothing_Item_19,132,39.79,5048.49,0.04,0.34
2023-06-30,East,Food,Food_Item_8,53,42.01,1813.65,0.19,0.15
2023-06-30,East,Home,Home_Item_18,88,104.02,7032.89,0.23,0.09
2023-06-30,East,Sports,Sports_Item_17,61,124.29,7380.84,0.03,0.32
2023-06-30,West,Electronics,Electronics_Item_14,161,488.03,60076.45,0.24,0.01
2023-06-30,West,Clothing,Clothing_Item_2,115,84.4,7908.99,0.19,0.29
2023-06-30,West,Food,Food_Item_19,87,95.13,6898.93,0.17,0.16
2023-06-30,West,Home,Home_Item_10,101,86.64,6360.66,0.27,0.05
2023-06-30,West,Sports,Sports_Item_17,100,107.67,9283.25,0.14,0.21
2023-07-31,North,Electronics,Electronics_Item_6,166,661.35,108273.75,0.01,0.09
2023-07-31,North,Clothing,Clothing_Item_11,137,47.79,5409.05,0.17,0.19
2023-07-31,North,Food,Food_Item_11,221,85.22,15529.07,0.18,0.13
2023-07-31,North,Home,Home_Item_3,225,107.67,19164.38,0.21,0.06
2023-07-31,North,Sports,Sports_Item_19,195,76.35,14119.44,0.05,0.26
2023-07-31,South,Electronics,Electronics_Item_6,196,693.07,121676.13,0.1,0.03
2023-07-31,South,Clothing,Clothing_Item_17,50,62.75,2295.96,0.27,0.14
2023-07-31,South,Food,Food_Item_15,127,56.21,6941.51,0.03,0.23
2023-07-31,South,Home,Home_Item_16,170,106.29,17218.33,0.05,0.24
2023-07-31,South,Sports,Sports_Item_3,110,10.36,1111.06,0.03,0.31
2023-07-31,East,Electronics,Electronics_Item_14,96,422.28,33020.13,0.19,0.01
2023-07-31,East,Clothing,Clothing_Item_7,179,79.8,13202.06,0.08,0.24
2023-07-31,East,Food,Food_Item_13,52,135.33,5913.74,0.16,0.15
2023-07-31,East,Home,Home_Item_5,67,72.64,4512.72,0.07,0.22
2023-07-31,East,Sports,Sports_Item_12,77,12.81,923.8,0.06,0.2
2023-07-31,West,Electronics,Electronics_Item_3,74,734.32,43268.81,0.2,0.01
2023-07-31,West,Clothing,Clothing_Item_15,158,58.37,7183.44,0.22,0.21
2023-07-31,West,Food,Food_Item_5,57,92.11,4653.92,0.11,0.19
2023-07-31,West,Home,Home_Item_13,55,135.95,6929.16,0.07,0.23
2023-07-31,West,Sports,Sports_Item_16,170,43.21,7009.13,0.05,0.18
2023-08-31,North,Electronics,Electronics_Item_9,71,710.49,38249.31,0.24,0.01
2023-08-31,North,Clothing,Clothing_Item_6,243,61.96,10619.15,0.29,0.13
2023-08-31,North,Food,Food_Item_17,155,90.64,14026.83,0.0,0.34
2023-08-31,North,Home,Home_Item_15,193,33.92,4721.89,0.28,0.08
2023-08-31,North,Sports,Sports_Item_4,249,76.73,17929.56,0.06,0.28
2023-08-31,South,Electronics,Electronics_Item_1,68,319.7,18284.28,0.16,0.01
2023-08-31,South,Clothing,Clothing_Item_4,139,81.42,9599.33,0.15,0.19
2023-08-31,South,Food,Food_Item_10,126,84.56,9578.93,0.1,0.13
2023-08-31,South,Home,Home_Item_2,54,18.87,920.56,0.1,0.27
2023-08-31,South,Sports,Sports_Item_11,133,45.65,4686.71,0.23,0.12
2023-08-31,East,Electronics,Electronics_Item_17,192,482.95,83020.87,0.1,0.04
2023-08-31,East,Clothing,Clothing_Item_11,118,86.45,9820.66,0.04,0.41
2023-08-31,East,Food,Food_Item_8,186,38.7,5197.6,0.28,0.03
2023-08-31,East,Home,Home_Item_5,60,121.34,6922.81,0.05,0.19
2023-08-31,East,Sports,Sports_Item_13,54,43.0,1689.46,0.27,0.08
2023-08-31,West,Electronics,Electronics_Item_14,91,435.47,34406.96,0.13,0.04
2023-08-31,West,Clothing,Clothing_Item_15,81,57.01,3582.39,0.22,0.17
2023-08-31,West,Food,Food_Item_8,194,135.94,22072.0,0.16,0.13
2023-08-31,West,Home,Home_Item_7,153,97.39,10699.8,0.28,0.01
2023-08-31,West,Sports,Sports_Item_7,91,29.5,2184.98,0.19,0.17
2023-09-30,North,Electronics,Electronics_Item_1,117,651.44,58416.18,0.23,0.01
2023-09-30,North,Clothing,Clothing_Item_6,182,77.13,10858.98,0.23,0.19
2023-09-30,North,Food,Food_Item_15,256,25.49,6275.48,0.04,0.3
2023-09-30,North,Home,Home_Item_2,249,30.99,6044.22,0.22,0.06
2023-09-30,North,Sports,Sports_Item_5,194,93.78,14284.72,0.21,0.11
2023-09-30,South,Electronics,Electronics_Item_8,197,308.96,50212.43,0.18,0.01
2023-09-30,South,Clothing,Clothing_Item_13,72,56.96,3912.48,0.05,0.41
2023-09-30,South,Food,Food_Item_11,153,80.82,12298.95,0.01,0.29
2023-09-30,South,Home,Home_Item_10,149,138.63,20512.48,0.01,0.31
2023-09-30,South,Sports,Sports_Item_14,141,62.42,8597.2,0.02,0.19
